number,x,y,theta,cmd_value 
0,6.56268310547,1.86425492608,-1.28297310245,1.67774121199,1.85680159186,-1.40560416946,1.70414733806,1.24659294675,-2.71557407536,-1.90906026859,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,6.74417519569,1.86425492608,-1.28297310245,1.67774121199,1.85680159186,-1.40560416946,1.70414733806,1.24659294675,-2.71557407536,-1.90906026859,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,6.83887815475,1.86425492608,-1.28297310245,1.67774121199,1.85680159186,-1.40560416946,1.70414733806,1.24659294675,-2.71557407536,-1.90906026859,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,7.057543993,1.86425492608,-1.28297310245,1.67774121199,1.85680159186,-1.40560416946,1.70414733806,1.2466387264,-2.71566656789,-1.90885905749,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,7.28913211823,1.86425492608,-1.28297310245,1.67774121199,1.85680159186,-1.40560416946,1.70414733806,1.27158020219,-2.77736855734,-1.77066573392,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,7.50650310516,1.86425492608,-1.28297310245,1.67774121199,1.85680159186,-1.40560416946,1.70414733806,1.33746404841,-2.92614361486,-1.44506691261,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,7.57707500458,1.86425492608,-1.28297310245,1.67774121199,1.85680159186,-1.40560416946,1.70414733806,1.33746404841,-2.92614361486,-1.44506691261,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,7.73471021652,1.86425492608,-1.28297310245,1.67774121199,1.85680159186,-1.40560416946,1.70414733806,1.41988219267,-3.09456224754,-1.05506266326,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,7.8527071476,1.86425492608,-1.28297310245,1.67774121199,1.85680159186,-1.40560416946,1.70414733806,1.41988219267,-3.09456224754,-1.05506266326,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,7.95366621017,1.86425492608,-1.28297310245,1.67774121199,1.85680159186,-1.40560416946,1.70414733806,1.41988219267,-3.09456224754,-1.05506266326,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,8.18331313133,1.86425492608,-1.28297310245,1.67774121199,1.85680159186,-1.40560416946,1.70414733806,1.41994319555,-3.09468689864,-1.05477275927,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,8.4190120697,1.86425492608,-1.28297310245,1.67774121199,1.85680159186,-1.40560416946,1.70414733806,1.45233897027,-3.15926052844,-0.894389747303,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
