number,x,y,theta,cmd_value 
0,3.62565803528,1.93550933132,-1.6108362697,1.52416159079,1.9107570332,-1.60426992771,1.50999967954,0.799750737874,-2.97771675172,-1.10603476576,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,3.83449196815,1.93200204827,-1.62423753344,1.52170282968,1.90496836411,-1.62030004342,1.50716495762,0.796950728658,-2.98908162105,-1.07848430303,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,3.92917895317,1.9332599912,-1.62409044559,1.52743315445,1.90717970171,-1.62178006862,1.51317481791,0.792955538908,-2.98654314065,-1.07356309912,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,4.14350414276,1.93366529524,-1.62722984903,1.53168023234,1.90510533333,-1.63207608274,1.51703833382,0.792933706591,-2.98606326135,-1.07356105254,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,4.2921090126,1.93366529524,-1.62722984903,1.53168023234,1.90510533333,-1.63207608274,1.51703833382,0.792791014016,-2.98490799256,-1.07331445272,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,4.35226106644,1.93366529524,-1.62722984903,1.53168023234,1.90510533333,-1.63207608274,1.51703833382,0.792303674346,-2.98309677255,-1.07298256424,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,4.54743409157,1.93077008042,-1.63486689568,1.52531300087,1.89964525626,-1.6412997104,1.51032383026,0.792170853983,-2.98240787684,-1.07273648144,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,4.61083316803,1.93289893392,-1.63350297423,1.52385219436,1.90032323256,-1.64188176111,1.50861903505,0.792170346199,-2.98240523972,-1.07273552906,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,4.71141409874,1.92514391277,-1.64266039231,1.53209637505,1.89622072709,-1.65154789404,1.51754480767,0.792013012539,-2.98211589279,-1.0726140955,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,4.98207998276,1.9370313303,-1.63896140198,1.52971797144,1.91528559345,-1.6472450184,1.51501657976,0.780421362547,-2.97202103246,-1.07138277484,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,5.14096307755,1.93958002243,-1.6532951511,1.52423228079,1.92894587209,-1.67109617006,1.51250859974,0.780421362547,-2.97202103246,-1.07138277484,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,5.22497200966,1.95609647709,-1.63771470902,1.53052725764,1.94670668799,-1.67141976596,1.51998871401,0.780399514893,-2.97200103066,-1.07137969821,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,5.34977197647,1.95609647709,-1.63771470902,1.53052725764,1.94670668799,-1.67141976596,1.51998871401,0.780399514893,-2.97200103066,-1.07137969821,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,5.4515171051,1.93105556738,-1.68087909719,1.53626150491,1.91651180408,-1.73342639404,1.52808299128,0.784885722339,-2.96286568636,-1.04581914997,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,5.51199007034,1.93152655536,-1.67040583556,1.55949604506,1.90743994716,-1.72584498242,1.54970466825,0.784891470753,-2.96285398077,-1.04578543505,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
