number,x,y,theta,cmd_value 
0,5.08237218857,1.93069319754,-1.63022447589,1.57228300257,1.92329365604,-1.65478482479,1.55970252899,0.829537064066,-3.43598250871,0.53366510808,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,5.16343307495,1.93069319754,-1.63022447589,1.57228300257,1.92329365604,-1.65478482479,1.55970252899,0.829713318407,-3.4348813983,0.533642235762,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,5.33618021011,1.95672459606,-1.59429870075,1.57660500162,1.94971896348,-1.62944758964,1.56699439928,0.829713699194,-3.43487921875,0.533642177306,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,5.40021014214,1.93731647732,-1.62110075756,1.57027143354,1.9285894467,-1.65444288199,1.55966673162,0.829676058836,-3.43321606941,0.533745729587,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,5.66146612167,1.90951863348,-1.64144258798,1.62143784979,1.8887712076,-1.67587242569,1.59885284972,0.829676058836,-3.43321606941,0.533745729587,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,5.75040912628,1.90726009224,-1.6243892127,1.64241112381,1.89151516974,-1.66171388005,1.62062262339,0.837210409949,-3.4380138507,0.52177441116,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,5.81788110733,1.89682447154,-1.61263217688,1.67348351169,1.87949063423,-1.65246558429,1.65212028911,0.878414120403,-3.47607192444,0.39907017292,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,5.88259410858,1.8783502234,-1.58780751084,1.71084760105,1.85869448605,-1.6304506807,1.68838253642,0.889789657569,-3.48542657378,0.370686667498,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,5.96231722832,1.8783502234,-1.58780751084,1.71084760105,1.85869448605,-1.6304506807,1.68838253642,0.8979212848,-3.49076411915,0.349611279731,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
0,6.02548003197,1.85196856242,-1.58438683123,1.75668065285,1.81902693774,-1.62770511264,1.72785694379,0.918603195473,-3.50887010657,0.289488377128,[[0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57], [0.5, 0.5, 1.57]]
